"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"357",1,3,2,1,1,1,1,1,1,1,1,1,1,10,1,1988,4,1
"358",1,3,1,1,1,1,1,1,1,1,1,1,1,10,1,1975,4,1
"359",1,3,2,1,1,1,1,1,1,1,1,2,1,10,2,1978,7,1
"360",1,1,1,3,2,1,1,1,2,2,1,1,1,10,1,1993,4,5
"361",1,3,2,1,1,2,2,1,1,2,1,1,1,10,1,1989,4,1
"362",0,3,2,1,2,1,1,1,3,1,2,2,3,4,2,1979,7,5
"363",0,3,2,1,1,1,3,1,3,3,1,4,4,1,2,1977,2,6
"364",0,3,2,1,2,1,5,1,2,2,2,5,2,0,2,1988,4,2
"366",0,3,2,1,1,1,4,1,4,4,1,5,2,0,2,1983,7,3
"367",0,5,2,1,1,1,1,1,1,1,1,5,4,0,1,1979,8,6
"368",0,3,2,2,2,2,3,1,4,4,1,2,1,9,1,1997,3,2
"369",0,3,2,2,2,3,2,2,3,2,3,5,3,0,2,1995,4,2
"370",1,3,2,1,2,1,3,1,2,2,1,2,1,9,1,1994,4,2
"371",1,1,1,2,2,1,4,4,3,2,1,2,1,8,2,1972,4,4
"372",0,1,1,1,1,1,4,1,5,5,2,1,1,9,2,1980,4,4
"373",0,5,4,1,1,1,3,1,3,3,3,4,2,0,2,1962,4,3
"374",1,1,2,3,2,2,4,2,4,4,3,2,1,9,2,1979,2,5
"378",0,5,4,1,1,1,1,1,1,1,1,5,4,0,1,1991,7,6
"380",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1992,3,6
"386",1,3,4,2,1,3,3,1,3,3,3,2,1,10,2,1973,3,3
"388",1,3,2,3,2,1,5,1,5,5,2,2,1,7,2,1975,2,6
"390",0,5,4,2,1,1,3,1,3,1,1,5,2,0,2,1988,7,1
"392",1,3,2,1,1,1,1,1,1,1,1,2,1,8,2,1959,2,3
"395",0,3,2,1,1,1,1,1,1,1,1,5,2,2,2,1983,7,1
"398",0,5,2,1,1,1,1,1,1,1,1,5,4,0,1,1981,2,6
"399",0,5,4,2,2,2,2,2,2,2,2,5,2,2,1,1965,2,2
"400",0,5,2,1,1,1,1,1,1,1,1,5,3,3,1,1977,2,5
"401",1,1,2,3,3,2,3,1,3,3,3,2,1,7,2,1996,4,3
"403",0,3,2,2,2,3,3,1,2,3,3,4,3,0,1,1982,4,6
"407",0,5,2,3,2,2,3,1,2,3,3,1,1,10,2,1997,3,6
"408",1,1,5,2,2,3,3,1,2,3,3,5,1,1,1,1962,2,1
"409",1,5,2,2,2,3,3,1,2,3,3,1,3,5,1,1979,2,5
"410",0,5,4,3,2,1,2,1,3,2,1,5,3,2,1,1995,4,5
"411",0,5,4,2,2,3,4,1,2,3,3,5,2,0,2,1962,4,3
"414",0,5,4,1,1,1,3,1,3,2,1,5,2,0,2,1971,2,3
"416",0,5,4,4,3,2,3,4,3,2,3,4,2,2,1,1962,4,4
"421",1,3,1,2,2,2,2,2,2,2,2,2,1,10,2,1991,7,6
"423",0,5,4,3,1,1,2,1,2,1,1,5,2,0,1,1982,3,1
"425",0,5,4,2,1,1,2,1,2,1,1,5,2,5,2,1994,4,3
"426",0,3,5,2,1,1,3,2,1,1,1,5,2,0,2,1980,4,4
"427",1,3,1,2,2,2,2,2,2,2,2,2,1,9,1,1990,4,6
"428",0,3,2,1,1,1,1,1,1,1,1,4,4,2,1,1978,4,6
"429",0,3,2,1,1,1,2,1,2,2,1,5,4,1,1,1993,4,5
"431",0,5,4,1,1,1,1,1,1,1,1,4,4,0,1,1982,4,5
"433",0,5,5,1,2,4,3,1,4,4,3,5,2,0,1,1977,4,3
"434",0,1,1,1,1,1,3,1,2,3,3,4,3,0,2,1970,4,4
"435",0,3,5,5,5,5,3,1,1,1,1,4,1,5,1,1973,4,6
"437",0,3,4,1,1,2,1,1,1,2,2,2,2,5,1,1972,8,5
"442",0,5,4,1,1,1,1,1,4,2,1,5,2,2,2,1994,4,1
"443",1,1,4,1,1,1,1,1,2,1,1,2,1,10,1,1978,2,3
"444",0,5,2,1,1,2,2,1,2,1,1,4,3,2,1,1954,7,6
"445",1,5,2,2,1,2,2,1,3,3,1,1,1,8,2,1960,4,6
"447",1,3,4,1,2,1,1,1,1,1,1,4,1,7,2,1980,4,1
"448",1,3,2,1,1,2,2,2,2,1,2,4,1,5,1,1986,7,6
"449",1,3,4,1,2,1,1,3,4,3,4,2,1,7,2,1961,2,6
"450",1,3,4,1,1,2,1,1,3,1,1,4,1,8,2,1992,3,1
"453",0,5,4,1,1,3,3,1,4,3,4,5,2,0,1,1972,4,1
"454",0,5,4,1,1,1,1,1,3,1,1,4,3,1,2,1969,3,6
"459",0,5,4,3,3,2,2,2,2,2,3,4,3,7,1,1970,3,5
"462",0,3,2,3,5,5,1,1,5,1,1,2,3,1,2,1997,4,3
"464",1,3,2,1,1,1,5,4,4,5,1,2,1,9,1,1992,3,3
"467",1,5,5,1,1,2,2,1,4,3,1,1,1,9,1,1996,3,5
"474",1,3,2,1,2,1,2,1,2,1,1,1,1,10,1,1953,4,6
"477",0,3,2,4,3,4,3,2,4,3,2,5,2,1,2,1986,7,4
"479",0,3,2,5,4,3,3,4,4,3,4,4,3,3,2,1965,2,3
"482",0,1,4,2,2,3,3,1,3,3,2,4,2,5,2,1959,2,2
"485",0,5,5,1,1,1,1,1,4,3,1,5,5,4,2,1966,2,6
"486",1,5,2,1,1,1,4,1,4,4,1,2,1,8,1,1925,2,5
"487",0,3,2,1,1,1,1,1,5,4,1,5,3,0,1,1965,4,5
"488",0,5,4,1,1,1,1,1,5,5,1,5,3,0,2,1954,3,4
"489",0,5,5,2,2,2,3,1,2,3,2,5,1,10,2,1996,4,6
"492",0,5,2,1,1,1,5,1,2,5,1,5,4,0,1,1969,2,6
"495",0,5,1,1,1,1,1,1,1,1,1,5,4,7,1,1958,2,6
"499",1,5,1,5,3,1,1,1,3,1,1,2,1,7,2,1989,4,5
"500",0,5,4,5,1,1,1,1,2,2,1,4,1,9,2,1973,2,6
"502",0,3,4,4,3,4,3,4,4,3,4,2,1,6,2,1967,2,4
"503",1,3,4,4,3,4,2,4,3,4,3,2,1,5,1,1965,2,2
"505",0,5,4,1,2,1,2,2,1,2,2,4,2,0,2,1963,2,2
"506",0,5,5,1,2,2,1,2,1,2,1,5,3,1,2,1981,4,3
"508",0,5,4,2,1,2,1,2,1,1,2,5,2,0,1,1963,3,6
"509",1,3,2,2,1,2,2,1,2,2,2,1,1,10,1,1958,7,5
"510",1,5,4,1,3,1,3,1,3,3,1,2,1,10,2,1947,2,2
"512",0,5,5,1,1,1,3,1,1,1,1,5,2,0,2,1994,7,1
"513",0,5,5,3,1,1,1,1,1,1,1,5,2,2,1,1971,4,5
"515",1,1,2,1,1,1,1,1,1,1,1,4,1,7,1,1980,4,6
"516",1,5,2,1,1,3,1,1,1,1,1,2,1,9,2,1996,4,6
"518",1,5,2,1,1,1,1,1,1,1,1,4,1,10,2,1973,2,3
"519",1,5,5,1,1,1,1,1,1,1,1,5,3,0,1,1978,3,6
"522",0,5,4,1,1,1,3,1,5,3,1,4,3,3,1,1990,4,5
"526",0,5,5,1,1,1,2,1,4,4,1,5,3,0,1,1978,4,6
"527",0,5,4,1,1,2,4,1,4,4,1,5,3,3,2,1993,4,3
"529",1,3,2,3,2,2,2,2,2,3,2,2,1,9,2,1990,4,3
"530",0,3,2,3,2,3,3,3,3,3,3,4,2,6,2,1992,7,2
"531",0,3,4,2,2,2,3,3,3,3,3,2,3,7,2,1994,4,2
"533",1,3,4,2,2,2,2,2,2,3,3,2,1,9,1,1992,4,6
"534",1,3,2,2,2,3,3,3,2,3,3,2,1,9,2,1996,4,3
"537",0,5,4,3,2,3,1,1,4,3,3,4,2,5,1,1975,2,5
"538",1,3,4,1,3,1,3,1,3,3,1,2,1,7,1,1959,2,5
"539",1,3,4,1,2,2,3,1,3,3,1,2,1,8,2,1954,2,6
"543",1,1,2,3,2,2,3,2,3,3,2,2,1,9,1,1985,2,5
"548",0,5,4,2,1,1,3,1,3,1,1,5,2,0,2,1991,3,1
"549",0,5,4,2,1,1,1,1,2,2,1,5,2,0,1,1975,7,1
"550",1,3,2,1,1,1,3,1,2,2,1,2,1,9,2,1984,4,3
"551",0,3,2,1,1,1,3,1,5,3,1,5,2,1,2,1990,4,4
"552",0,5,5,2,2,2,1,1,2,2,2,5,2,0,1,1987,7,5
"554",0,5,4,2,1,1,1,1,2,2,2,5,2,0,1,1945,4,6
"556",0,3,4,1,1,1,1,1,1,1,1,5,2,1,2,1949,2,6
"557",0,5,4,1,1,1,1,1,1,1,1,4,2,0,2,1949,4,6
"559",0,5,4,3,2,2,5,2,1,5,1,5,4,4,1,1993,2,5
"560",0,5,2,3,3,1,5,2,2,5,1,4,4,4,1,1978,3,6
"561",0,5,4,3,3,1,5,2,5,5,1,5,4,2,1,1992,3,5
"562",0,5,4,3,3,1,5,2,2,5,1,4,4,4,1,1980,2,5
"567",0,5,4,1,1,1,3,1,3,3,3,5,2,1,2,1990,7,2
"568",1,3,2,2,2,1,3,1,3,3,2,2,1,10,1,1964,2,6
"569",0,3,4,1,1,1,1,1,2,2,2,4,2,3,1,1987,7,1
"570",0,3,4,1,1,1,1,1,1,1,3,4,3,0,2,1995,4,3
"571",0,5,4,1,1,1,1,1,1,1,1,4,3,5,1,1962,2,5
